scenario_id,has_leak,x_leak_true,q_leak_true,leak_size,noise_level,noise_std,n_pressure_sensors,leak_detected,t_detection,x_leak_pred,x_leak_error_km,q_leak_pred,q_leak_error_pct,method
0,False,,0.0,none,trivial,500,2,False,,,,6.442232849401819e-07,,pressure_gradient
1,True,2000.0,0.005,small,trivial,500,2,False,,,,0.005007281155203491,,pressure_gradient
2,True,2000.0,0.015,medium,trivial,500,2,False,,,,0.015019638868980278,,pressure_gradient
3,True,2000.0,0.03,large,trivial,500,2,False,,,,0.030036011747623548,,pressure_gradient
4,True,4000.0,0.005,small,trivial,500,2,False,,,,0.005013799862766677,,pressure_gradient
5,True,4000.0,0.015,medium,trivial,500,2,False,,,,0.015037774838130347,,pressure_gradient
6,True,4000.0,0.03,large,trivial,500,2,False,,,,0.030068410407402102,,pressure_gradient
7,True,6000.0,0.005,small,trivial,500,2,False,,,,0.005008956442672519,,pressure_gradient
8,True,6000.0,0.015,medium,trivial,500,2,False,,,,0.015022598199278037,,pressure_gradient
9,True,6000.0,0.03,large,trivial,500,2,False,,,,0.030036525457790397,,pressure_gradient
10,True,8000.0,0.005,small,trivial,500,2,False,,,,0.005005354331171719,,pressure_gradient
11,True,8000.0,0.015,medium,trivial,500,2,False,,,,0.015011878635741271,,pressure_gradient
12,True,8000.0,0.03,large,trivial,500,2,False,,,,0.03001546976038799,,pressure_gradient
0,False,,0.0,none,facil,2000,2,False,,,,2.5768931398162387e-06,,pressure_gradient
1,True,2000.0,0.005,small,facil,2000,2,False,,,,0.005009213825058367,,pressure_gradient
2,True,2000.0,0.015,medium,facil,2000,2,False,,,,0.015021571538835099,,pressure_gradient
3,True,2000.0,0.03,large,facil,2000,2,False,,,,0.030037944417478424,,pressure_gradient
4,True,4000.0,0.005,small,facil,2000,2,False,,,,0.005015732532621553,,pressure_gradient
5,True,4000.0,0.015,medium,facil,2000,2,False,,,,0.015039707507985223,,pressure_gradient
6,True,4000.0,0.03,large,facil,2000,2,False,,,,0.030070343077256978,,pressure_gradient
7,True,6000.0,0.005,small,facil,2000,2,False,,,,0.005010889112527395,,pressure_gradient
8,True,6000.0,0.015,medium,facil,2000,2,False,,,,0.015024530869132913,,pressure_gradient
9,True,6000.0,0.03,large,facil,2000,2,False,,,,0.030038458127645273,,pressure_gradient
10,True,8000.0,0.005,small,facil,2000,2,False,,,,0.005007287001026595,,pressure_gradient
11,True,8000.0,0.015,medium,facil,2000,2,False,,,,0.015013811305596148,,pressure_gradient
12,True,8000.0,0.03,large,facil,2000,2,False,,,,0.030017402430242868,,pressure_gradient
0,False,,0.0,none,moderado,8000,2,False,,,,1.0307572559598022e-05,,pressure_gradient
1,True,2000.0,0.005,small,moderado,8000,2,False,,,,0.005016944504478149,,pressure_gradient
2,True,2000.0,0.015,medium,moderado,8000,2,False,,,,0.01502930221825488,,pressure_gradient
3,True,2000.0,0.03,large,moderado,8000,2,False,,,,0.03004567509689815,,pressure_gradient
4,True,4000.0,0.005,small,moderado,8000,2,False,,,,0.005023463212041335,,pressure_gradient
5,True,4000.0,0.015,medium,moderado,8000,2,False,,,,0.015047438187404893,,pressure_gradient
6,True,4000.0,0.03,large,moderado,8000,2,False,,,,0.030078073756676704,,pressure_gradient
7,True,6000.0,0.005,small,moderado,8000,2,False,,,,0.005018619791947065,,pressure_gradient
8,True,6000.0,0.015,medium,moderado,8000,2,False,,,,0.015032261548552639,,pressure_gradient
9,True,6000.0,0.03,large,moderado,8000,2,False,,,,0.030046188807065,,pressure_gradient
10,True,8000.0,0.005,small,moderado,8000,2,False,,,,0.005015017680446265,,pressure_gradient
11,True,8000.0,0.015,medium,moderado,8000,2,False,,,,0.015021541985015818,,pressure_gradient
12,True,8000.0,0.03,large,moderado,8000,2,False,,,,0.030025133109662594,,pressure_gradient
0,False,,0.0,none,dificil,25000,2,False,,,,3.221116424878545e-05,,pressure_gradient
1,True,2000.0,0.005,small,dificil,25000,2,False,,,,0.0050388480961673365,,pressure_gradient
2,True,2000.0,0.015,medium,dificil,25000,2,False,,,,0.015051205809944068,,pressure_gradient
3,True,2000.0,0.03,large,dificil,25000,2,False,,,,0.030067578688587338,,pressure_gradient
4,True,4000.0,0.005,small,dificil,25000,2,False,,,,0.005045366803730522,,pressure_gradient
5,True,4000.0,0.015,medium,dificil,25000,2,False,,,,0.015069341779094136,,pressure_gradient
6,True,4000.0,0.03,large,dificil,25000,2,False,,,,0.03009997734836589,,pressure_gradient
7,True,6000.0,0.005,small,dificil,25000,2,False,,,,0.005040523383636308,,pressure_gradient
8,True,6000.0,0.015,medium,dificil,25000,2,False,,,,0.015054165140241882,,pressure_gradient
9,True,6000.0,0.03,large,dificil,25000,2,False,,,,0.030068092398754187,,pressure_gradient
10,True,8000.0,0.005,small,dificil,25000,2,False,,,,0.005036921272135453,,pressure_gradient
11,True,8000.0,0.015,medium,dificil,25000,2,False,,,,0.015043445576705061,,pressure_gradient
12,True,8000.0,0.03,large,dificil,25000,2,False,,,,0.030047036701351837,,pressure_gradient
0,False,,0.0,none,muy_dificil,50000,2,False,,,,6.442232849745988e-05,,pressure_gradient
1,True,2000.0,0.005,small,muy_dificil,50000,2,False,,,,0.005071059260416011,,pressure_gradient
2,True,2000.0,0.015,medium,muy_dificil,50000,2,False,,,,0.015083416974192798,,pressure_gradient
3,True,2000.0,0.03,large,muy_dificil,50000,2,False,,,,0.030099789852836067,,pressure_gradient
4,True,4000.0,0.005,small,muy_dificil,50000,2,False,,,,0.005077577967979197,,pressure_gradient
5,True,4000.0,0.015,medium,muy_dificil,50000,2,False,,,,0.015101552943342866,,pressure_gradient
6,True,4000.0,0.03,large,muy_dificil,50000,2,False,,,,0.030132188512614566,,pressure_gradient
7,True,6000.0,0.005,small,muy_dificil,50000,2,False,,,,0.005072734547885038,,pressure_gradient
8,True,6000.0,0.015,medium,muy_dificil,50000,2,False,,,,0.015086376304490556,,pressure_gradient
9,True,6000.0,0.03,large,muy_dificil,50000,2,False,,,,0.030100303563002917,,pressure_gradient
10,True,8000.0,0.005,small,muy_dificil,50000,2,False,,,,0.005069132436384183,,pressure_gradient
11,True,8000.0,0.015,medium,muy_dificil,50000,2,False,,,,0.015075656740953791,,pressure_gradient
12,True,8000.0,0.03,large,muy_dificil,50000,2,False,,,,0.03007924786560051,,pressure_gradient
0,False,,0.0,none,trivial,500,3,False,,,,6.442232849401819e-07,,pressure_gradient
1,True,2000.0,0.005,small,trivial,500,3,False,,,,0.005007281155203491,,pressure_gradient
2,True,2000.0,0.015,medium,trivial,500,3,False,,,,0.015019638868980278,,pressure_gradient
3,True,2000.0,0.03,large,trivial,500,3,False,,,,0.030036011747623548,,pressure_gradient
4,True,4000.0,0.005,small,trivial,500,3,False,,,,0.005013799862766677,,pressure_gradient
5,True,4000.0,0.015,medium,trivial,500,3,False,,,,0.015037774838130347,,pressure_gradient
6,True,4000.0,0.03,large,trivial,500,3,False,,,,0.030068410407402102,,pressure_gradient
7,True,6000.0,0.005,small,trivial,500,3,False,,,,0.005008956442672519,,pressure_gradient
8,True,6000.0,0.015,medium,trivial,500,3,False,,,,0.015022598199278037,,pressure_gradient
9,True,6000.0,0.03,large,trivial,500,3,False,,,,0.030036525457790397,,pressure_gradient
10,True,8000.0,0.005,small,trivial,500,3,False,,,,0.005005354331171719,,pressure_gradient
11,True,8000.0,0.015,medium,trivial,500,3,False,,,,0.015011878635741271,,pressure_gradient
12,True,8000.0,0.03,large,trivial,500,3,False,,,,0.03001546976038799,,pressure_gradient
0,False,,0.0,none,facil,2000,3,False,,,,2.5768931398162387e-06,,pressure_gradient
1,True,2000.0,0.005,small,facil,2000,3,False,,,,0.005009213825058367,,pressure_gradient
2,True,2000.0,0.015,medium,facil,2000,3,False,,,,0.015021571538835099,,pressure_gradient
3,True,2000.0,0.03,large,facil,2000,3,False,,,,0.030037944417478424,,pressure_gradient
4,True,4000.0,0.005,small,facil,2000,3,False,,,,0.005015732532621553,,pressure_gradient
5,True,4000.0,0.015,medium,facil,2000,3,False,,,,0.015039707507985223,,pressure_gradient
6,True,4000.0,0.03,large,facil,2000,3,False,,,,0.030070343077256978,,pressure_gradient
7,True,6000.0,0.005,small,facil,2000,3,False,,,,0.005010889112527395,,pressure_gradient
8,True,6000.0,0.015,medium,facil,2000,3,False,,,,0.015024530869132913,,pressure_gradient
9,True,6000.0,0.03,large,facil,2000,3,False,,,,0.030038458127645273,,pressure_gradient
