scenario_id,has_leak,x_leak_true,q_leak_true,leak_size,noise_level,noise_std,n_sensors,leak_detected,t_detection,x_leak_pred,x_leak_error_km,q_leak_pred,q_leak_error_pct,method,inference_time_ms,has_leak_prob,training_time_s,noise_std_db
0,False,,0.0,none,trivial,500.0,2.0,True,55.66666666666666,1000.0,,6.958274413792156e-07,,mass_balance_npw,,,,0.0
1,True,2000.0,0.005,small,trivial,500.0,2.0,True,50.0,2000.0,0.0,0.004970571931269,0.5885613746182267,mass_balance_npw,,,,0.0
2,True,2000.0,0.015,medium,trivial,500.0,2.0,True,50.0,2000.0,0.0,0.0149123161013968,0.5845593240209312,mass_balance_npw,,,,0.0
3,True,2000.0,0.03,large,trivial,500.0,2.0,True,50.0,2000.0,0.0,0.0298284779742254,0.5717400859150725,mass_balance_npw,,,,0.0
4,True,4000.0,0.005,small,trivial,500.0,2.0,True,51.66666666666666,3999.999999999997,2.7284841053187848e-15,0.0049528705089032,0.9425898219342366,mass_balance_npw,,,,0.0
5,True,4000.0,0.015,medium,trivial,500.0,2.0,True,51.66666666666666,3999.999999999997,2.7284841053187848e-15,0.0148611715738172,0.9255228412185952,mass_balance_npw,,,,0.0
6,True,4000.0,0.03,large,trivial,500.0,2.0,True,51.66666666666666,3999.999999999997,2.7284841053187848e-15,0.029732151881277,0.8928270624098539,mass_balance_npw,,,,0.0
7,True,6000.0,0.005,small,trivial,500.0,2.0,True,51.66666666666666,6000.000000000003,2.7284841053187848e-15,0.0049388518602726,1.2229627945464956,mass_balance_npw,,,,0.0
8,True,6000.0,0.015,medium,trivial,500.0,2.0,True,51.66666666666666,6000.000000000003,2.7284841053187848e-15,0.0148213291276881,1.1911391487455398,mass_balance_npw,,,,0.0
9,True,6000.0,0.03,large,trivial,500.0,2.0,True,51.66666666666666,6000.000000000003,2.7284841053187848e-15,0.0296588320925935,1.1372263580216684,mass_balance_npw,,,,0.0
10,True,8000.0,0.005,small,trivial,500.0,2.0,True,50.0,7799.999999999998,0.2000000000000018,0.004972065368628,0.5586926274389094,mass_balance_npw,,,,0.0
11,True,8000.0,0.015,medium,trivial,500.0,2.0,True,50.0,7799.999999999998,0.2000000000000018,0.0149205291400247,0.529805733168141,mass_balance_npw,,,,0.0
12,True,8000.0,0.03,large,trivial,500.0,2.0,True,50.0,7799.999999999998,0.2000000000000018,0.0298556107745997,0.4812974180008061,mass_balance_npw,,,,0.0
0,False,,0.0,none,facil,2000.0,2.0,True,55.66666666666666,1000.0,,2.783309765512309e-06,,mass_balance_npw,,,,12.041199826559248
1,True,2000.0,0.005,small,facil,2000.0,2.0,True,50.0,1900.0000000000011,0.0999999999999986,0.0049718295964635,0.5634080707285147,mass_balance_npw,,,,12.041199826559248
2,True,2000.0,0.015,medium,facil,2000.0,2.0,True,50.0,2000.0,0.0,0.0149135737665913,0.576174889391004,mass_balance_npw,,,,12.041199826559248
3,True,2000.0,0.03,large,facil,2000.0,2.0,True,50.0,2000.0,0.0,0.0298297356394199,0.5675478686001032,mass_balance_npw,,,,12.041199826559248
4,True,4000.0,0.005,small,facil,2000.0,2.0,True,51.75,3950.0,0.05,0.0049547687124192,0.9046257516158972,mass_balance_npw,,,,12.041199826559248
